responses,quality
okay what activities specifically we have you tried to learn?,0
Oh didn't know you had an ankle pain but we can look at it later anyway um you know you're still going to need to do aerobic activities in order to lose the weight. it's proven to be the best way to ,0
well i'd say if your ankle pain doing brief walks every day maybe three or four and like take about  minutes at a time that should help you,0
well you know you should eat more fruits and vegetables you know green anything green and stick with short walks and the resistance training like you said it's going to help you with the weight loss okay well do any other questions for me today?,0
all right well I'll see you to follow up in two weeks thanks  ,0
no I don't,0
I know but that's part of it so I don't have to give you music you know what your lovemaking with Jason that was music to my ears,0
so how many times you guys have sex that night on a scale of one to five five being the lowest how many times did you guys have sex that night how many pieces of furniture,0
it was on the bed,0
are you were you a virgin before you would chase them no judgment you did go to private school,0
jobs count who you was being in college,0
just I have a hunch were you a lesbian in college,0
that's the hunch this this type of sex is actually very indicative of the type of relationship well if was it in conventional law was it like was ever done that or was it with her past was it slow was it you know you know what I'm talking about when I do that say stop cygwin let me win okay this is what we're gonna do I like to wrap up sessions with a game obvious this award Association have you heard of it,0
they're going to say the first thing that pops in your head hair,0
Redhead,0
penis the word association for penises penis okay as I think you're repressed,0
that is the first sign of oppression,0
how have you been?,0
good thanks for asking today we're going to start by just asking a few questions I was just  wondering how your home care has been  since the last time I saw you know? so  what type of products are you using to  clean your teeth and to help prevent the  build-up of plaque and bacteria and  stuff?,0
okay well that wasn't what I was  expecting here and I'm pretty  disappointed in your home care habits  that's not the proper way to care for  your teeth Oh as a professional and your  hygienist I need you to buy an electric  toothbrush because they remove way more  than your manual one I also need you to  brush twice a day and floss once a day  and use some type of toothpaste of  fluoride in it and lastly I really need  you to use a mouthwash to prevent the  build-up of bacteria and help print out  everything out of your mouth after  brushing and flossing ,0
well I know what I'm talking  about i went to school for two years to  get my degree and what I'm telling you  is really important if you want to try  to keep all of your teeth and not get  gingivitis or periodontal disease do you  not care about your health? ,0
you only have to swish for   seconds and then go  minutes  without food or water if you can't  handle that it's pretty embarrassing as  an adult here's my favorite it's  Listerine cool mint let me see you swish  for  seconds that way I know that you  know what to do with the product when  you get home and you can just keep that  to spit out whenever I tell you that the  time is up  is it burning? mm-hmm keep going almost  there okay you can go ahead and spit it  out into the cup thank you so is it bad?,0
well you have to go  minutes without it so  it'll go by fast okay and then i'm going  to give you this little mini bottle that  you can take home with you until you go  to the store to buy your own just make  sure it's this one cuz that one's really  going to clean your mouth the best even  though it burns a little bit okay just  remember it's the best for your help and  if you don't want to lose your teeth  then you're going to need to do that,0
Can I help you?,0
So you want nicotine replacement but you don't want to quit smoking?,0
"Yea, we don't really recommend that. The idea is that you would use the nicotine replacement to actually quit so then you wouldn't be smoking at work but you also wouldn't be smoking the rest of the time either.",0
"Okay well smoking really is really bad for you, you know it causes things like lung cancer, emphysema, heart disease.",0
Oral disease.,0
"Well to be honest with you, you mentioned the patch, I can't recommend a patch to you if you're going to continue smoking that can actually be pretty dangerous for you. In order to advise you about this at all I need you to tell me a little bit more about your smoking history and how much you're smoking now.",0
Okay well we actually consider  cigarettes a day to be a significant amount and in fact I would then recommend to you that you start on the highest dose of nicotine replacement.,0
"Well there are some products that you could use to take away some of your cravings, then probably the gum would be the best option for you. It's not something that you would continue to use continuously throughout the day however but gum is something you use just when you have a craving.",0
"Well, we have that here but again but the idea would be for you to actually quit smoking.",0
Well.,0
"Aside from the gum you could try the nicotine lozenge that would be another option for you, again that's not something you wanna use continuously throughout the day. The nicotine patch is the best for continuous nicotine replacement but again that's not something you can use while you're continuing to smoke.",0
you know you don't have to sign up if  you don't want to but you know kind of  here to like fix things for you and just  make sure everything goes no real  smoothly with the different issues that  you've been having and just kind of oh  you know kind of manage things and just  take care of stuff so you know it again  if you want the service you can have it  but it's kind of up to you but I am here  if you want me to be and you know I'll  couldn't kind of teach you about things  you might not know about or tell you  some things about your house and you  know just more or less make sure  everything goes okay so you know you  think that might be something you'd be  interested in wanting to be a part of  because I you know really like to help  you ,0
because it seems like I you  know you've expressed some health issues  lately and I know you've had a lot of  problems with your weight so that's  certainly something we can talk about  and I know a lot about you know weight loss and have helped a lot of people with you know managing their weight and figuring out what they need to do so you know what are your main problems about your weight I mean why is it a problem for you?,0
so why do you eat too much? I mean how is that a problem?,0
so you like it you just like eating food so you just kind of eat eat more than you know you should be eating yes like do you know about portion control has anyone told you about like you know a card size for a piece of meat or some salad I mean have you has anyone showed you that? because I can pull out our yeah yeah samples and give you those that ,0
you could tell me about it? I mean about what you should be eating for ya meet size and like you know baseball size for food so it's not that you don't know about you you you do know about poor iron control yeah so if you know how much you should be eating and then how is it a let me know if you know how much you should be eating then how do you stop?,0
well that's great i could do about this yeah because you know there's there's just so many different things when it comes to like weight loss you know and really being able to have some self control i mean that's a really really important factor this is really being able to have some self control and you know i found a lot of people just really need to increase their fruits and their vegetables and just not eat any processed foods and you know not need any anything that might be kind of junk but then you know not not cheat either i mean you want to be able let yourself have some ice cream or some things that you might really like from time to time because you know you don't want to completely not let yourself have good stuff either so ,0
oh I see well you know obviously you want to make sure you're not eating you know junk food all day long but on the other hand you want to make sure that you give yourself some opportunities to have that bite of brownie or cake or you know I for myself personally I really love like lemon meringue pie so I always have to you know save that little piece for myself in the fridge to make sure i have my little bite of lemon meringue pie and then i can feel good about you know where I where I was eating good the rest of the day then I could still have my lemon meringue pie so something like that might kind of work better you know for you to really take a look at your portion sizes and then you know making sure you get out there and exercising me if you're not exercising it certainly not going to help you with being able to get off the weight either so that's that's critical how are you doing on weight loss as far as exercising?,0
oh so see that's really key right that's a really key portion to it so it sounds like when we talk next time if you kind of kind of give me an idea maybe keep a journal for a week and tell me what you've been eating and we can really look at you know what good things that I can tell you what things you shouldn't be eating out of that plan and then I really think it'd be important if you just start maybe even just start walking three times a week if you could just start that really slowly and then months from now we can kind of see if that's helped some and we can talk about the items you've had on your journal and we can go from there all kind of direct you from there what you shouldn't be eating how does that sound?,0
sure what it was or whatever is comfortable for you so you know start out small so that you can feel really good about having some success in doing some exercise so you know if you feel tired at - minutes really just kind of paste it along for yourself and feel what's right so that you can feel like you're getting out there and getting moving because it's all about taking a small step and you know at least getting active okay and then I think the food journal would be really important because then we'll really have a better idea what you what you truly are eating and how many calories and then we can go from there I'm deciding you know how many calories you really should be eating in your diet and that way you can do a better job of monitoring it ,0
so how about we meet back and say three to four weeks and we can kind of see how that journals going? C	well that seems like a long time I mean I think in three to four weeks a lot of things can happen and I think these things come on it yeah ,0
if you have any problems along the way before then feel free to give me a call i'm always available so if there is something that you find it's just not working just give me a call we can kind of discuss it but then we can meet in person because we really should probably have about a month of your journal you know kind of down but if there's something that comes up I mean by Allah me just give me a call there's my extension so you'll call me if you you know my weights been coming up so ,0
well I I would hope that with some little you know with some exercise and with starting to be more aware by writing down what you eat you may find it as you have to write it down that you may find that you will avoid eating certain things because you don't want to you know as you write it down it may make you feel like well now I'm not so sure I should eat this like if you're going to eat them a whole container of ice cream you know you might not want to have to write that down so you may just limit yourself to scoop or two of ice cream so there is some kind of pieces that helps with having to write things down and I think we're just going to take it step by step but again there's my I'm phoning my extension so I'm here if you need me okay so let's just continue on our conversation that's so Tanya I'm really glad you're able to kind of come in and just talk with me for a couple minutes as i explained kind of briefly on the phone as part of your insurance benefit i'm available for you as your own personal coach you know i am a nurse but i have a lot of background in wellness so I've been really here to help guide people and kind of as a case manager I'm able to help you to help empower you don't kind of work towards your goals of what you're trying to work on with your health and I know you would expressed on the phone a little bit but I would love it if you tell me some more about you know what is one of maybe the main things you've been thinking about in relation to your health right now C	okay well basically I feel like if I don't if I don't stay on certain habits and routines then everything just kind of goes kaput ,0
so the structure is really important to you in your life in order to manage your health?,0
so it almost sounds like a house of cards if one kind of shifts away from from that hmm they just kind of all fall down very quickly and then you start to not feel good about yourself or you don't start to feel good in general physically?,0
oh okay so because you start feeling poorly or you start feeling badly then you just kind of say well whatever or ,0
for you it feels like this whole kind of circle of things almost cyclical and the fact if you're not doing what you need to be doing then you start to feel a weight difference in your weight yeah so it just kind of builds on itself ,0
so what do you see is the key goal that you're trying to focus on right now or maybe a group of gold what are what are your key things that you are wanting to have happen?,0
tell me a little bit about those ,0
a social physical activity yeah that you get to be out and be with people like yeah just doing on your own,0
so that you kind of feel like you're in a partnership together yeah that's rather than just your own yeah we aren't working toward this together as a group yeah so you've talked about several different kind of pieces that are important to you if we just took a look at that one activity because that sounds like a newer thing that you really need to push with where would you put yourself on how important this is to you want to say on a scale of one to ten? just just on importance ,0
okay it's about sharing is that yeah really that piece of connectedness that's really important for you yeah so if we were to ask your second question and that's kind of where the rubber meets the road how confident are you that you could start finding a group activity let's say in the next two weeks? oh that you could start one obviously that steps to find it I involved but within two weeks you could find yourself in some type of a group activity ,0
so you would get that in aid as yeah so it's something that's pretty important to you yeah I'm definitely more than a  and also you're really confident that you can go out there and do that yeah what do you see is some of the barriers that might get in your way? ,0
so finding the time in your day be able to do or not do this or not yeah and how do you see that best in your day how do you see that working in like an evening kind of thing around the evening? ,0
so one of the things I hear people frequently will be saying is that the evenings my time to unwind and then I don't have the energy or I don't feel like going out to do something that might be more rigorous how is that for you? ,0
well if it be okay with you I would love to touch base maybe after that class starts and just kind of see what you found how it's working and then we can go from there looking at any kind of barriers the one thing I think I would just encourage you with to normalize is to realize about doing things in small doable steps and not feeling like if you haven't done everything for the day that you are hailed the day but but that any more water you drink or vegetables you've added it's certainly a positive and look at my friend right then to be hard on yourself right towards your you know movement toward wellness right okay so if we could touch base maybe in three weeks sure that would be super I'd really look forward to it I'm really glad you came in okay thank you  ,0
finded life a bit anxious making just am I'm I'm working full time my husband's abroad okay my child's just left to go to university and I'm doing an online course and I really feel as if everything's getting on top of me and I felt like this once before about three or four years ago you'll you'll have it in your records and and you give me some tablets and not just helped me just get over the hump and I'm really thinking that I need some medication ,0
okay let's see your records that be sorry about two years ago roughly?,0
do remember the name of you tablets you got them? ,0
let's see it yeah you got  tablets at that point ,0
but you're working now is that right?,0
is ok?,0
you're sleeping well? ,0
you eating fine concentrations good core memory is good?,0
is that why you're not looking after yourself as well at the moment?,0
and alcohol?,0
with glasses how much do you mean?,0
two of those? yeah okay and you wanting tablets?,0
we've no Rini to follow guidelines and recommendations on how they've had just had recently updated guidelines we use things like nice guidelines and stuff and you're describing anxiety symptoms that seem to be related to specific issues and we don't think tablets are the best thing anymore we're there's much more recommendation to big you know talking with professionals having what we call CBT cognitive behavioral therapy working through these issues is probably a better long-term option and is what is firstly recommended and second recommendation we try and avoid especially those types of drugs you're talking about valium because we know they just make addicted to them ,0
it's a psychologist to talk to you about you how things you do ,0
it's usually our obsessions in a seminar if you're lucky once a week that week wicked ,0
you don't have anyone any of them left yet still we finished all those you had? C	two years ago yes yep she took all than one then when I needed them yet and that was fine that was all I needed though you gave me I think  tablets that was all I needed just to get me over the hump nope just about - weeks ,0
still think be worth having a more in-depth discussion about this to see what would be your best options because I other tablets as well that can be used again there again more preventative it's more to keep these things getting so it doesn't happen again and again and again right and also your ways of coping assume does it ,0
it depends a bit on different areas where is it you live just locally here don't you yeah i would have to send a letter and we would get a reply to tell us how long you'd have to wait and i would hope it would be too long because this is one of our prioritized areas and it how long is too long what i should be within the month i would take a month yeah ,0
well i definitely when you give you that many and i really think you'll be worth looking at the other options how about i gave you just a few like a couple to see if that does you a little better than it ,0
no I think no I think we should refer your straightaway ,0
I'll give you a few tablets I'll give you a few tablet and we'll refer you because I need you don't have to come back here unless there is a problem ,0
do you think it's going to last that long?,0
i can do you affect your driving light over they dictate just as a short bar so it was won by suppose if that's your day I'm saying well I think you know that beam in between we can give you a couple of times now to try for the next few days I'll send a referral today and obviously if you feel so better you can come back but I would hope you wouldn't need to ask okay let just to do check here as well computers reminding me that you ever do you smear as well that we will as well yep you know we have targets we need to read targets yeah so worth getting them done ,0
was that somewhere else then? because that might not be recorded here no is good something here ,0
that was done we need to do that every three or five years I've got that has been done that's okay and for the smear it's not being recorded here did you get a letter with the result? if you do member we could be good records that way no it's not going to do any harm getting an extra one so make the point with the nurse right the time the ,0
okay i'll just write the description ,0
thank you see you  ,0
It calms your nerves and makes you feel good.,0
"OK Ms. Fisher listen to this, by continuing to smoke you are putting your body in a great amount of harm COPD, chronic bronchitis, pneumonia, asthma, all these other type of bad things. You know so why haven't you quit yet?",0
I don't understand. What's so tough about it? Can't you understand that you are putting your body at great harm by continuing to smoke?,0
You guess so. OK so good. So that means you want to quit now right?,0
"OK, good, good I'm glad to hear you say that. So this is what were gonna do. First, were gonna set a quit date. Next, I want you to go home and remove all the cigarettes in your surroundings. Like, as soon as you leave here. And then finally, I'm gonna give you this prescription for Chantix which you can take every day, and also these nicotine patches. Ok.",0
"Ok, alright good. We'll set an appointment for you to come see me in another month. When we see you in another month you need to have quit smoking cigarettes because you know how bad it is for you. Alright? Alright, you can pick up the prescription from my nurse on your way out and then call me at the clinic if you have any questions. OK. Thank you so much it was good seeing you again. OK, Alright. Take care. Bye ",0
hi pharmacists I have some questions that I really need to speak to someone about ,0
yeah pharmacist go ahead ,0
well the measles is a really bad infection so it's really important you need to give your son the vaccinations ,0
it doesn't matter if your son's always healthy vitamins don't treat the measles  ,0
okay so I wrote a prescription for an antibiotic for Aidan that should help with the ear infection but in looking through this chart I mean it seems like he's had six or seven of these just in the past year or so that's really a big problem ,0
well one of the primary risk factors for multiple ear infections and kids is actually smoke exposure are you smoking?,0
well the fact that he's having these ear infections is indicating to me that he is being exposed to smoke and so what can you tell me about that?,0
I really need you to quit smoking both for your health and for Aidan did you know smoking around your child is associated not only with ear infections it could get to the point where you have to put tubes in his ears pretty shortly here also things like vitamin C do efficiency cavities like dental cavities behavior problems asthma other upper respiratory infections it's really putting him at a lot of risk in addition to that kids of smokers end up smoking themselves you want him to grow up to be a smoker?,0
well now is the time to quit it's really gotten to the point where you can't keep smoking not only for him like I said but also for you you're putting yourself at risk for lung cancer for emphysema for oral cancers for heart disease for all kinds ,0
well there's all kinds of things you can use now it's not as hard as it used to be you can use nicotine replacement there's patches there's lozenges there's gum there's the inhaler there's nasal spray we can talk about medications you can try chantix you can try zyban there's quit smoking groups you can go to there's hotlines you can talk ,0
no reason why you shouldn't be able to quit this is really important ,0
well what can be more important to you than the health of your child?,0
I really need you to tell me that you're gonna quit smoking this is really important ,0
okay well I think you really need to think about this seriously it like I said it's really putting yourself and your child in danger ,0
okay okay  ,0
hi I'm here to pick up description ,0
okay and is it for Molly?,0
hi ,0
how are you doing?,0
well would you mind taking a seat I have a couple things I want to go over with you about this medication,0
okay well this should only take a few minutes. so before we get started I just want to make sure I still got all the correct information so you're still on Emma Street with the same phone number and everything right?,0
okay so nothing's changed wonderful. um now I was taking a look at your medication profile earlier and it looks like you're on two different strengths of lipitor so that obviously it can't be right ,0
okay so do you remember which one you're taking?,0
okay I think you're taking the  milligram tablets it's not right ,0
"so the doctor gave you this new prescription but there's new medication, is that right?",0
okay okay so this medication is for your cholesterol,0
and you're going to take it once a day it's really important that you take it every day all right and you can take it with or without food it doesn't really matters ,0
okay and now the doctor did tell you this was your cholesterol right? ,0
"right right exactly so that's why he wrote you this prescription so it's greater cholesterol you're just gonna take it once a day it's really easy. Okay, there are some side effects that go along with this medication but I wouldn't really worry about it because I mean you're young you're healthy it's not an issue so don't concern yourself with it. Okay all right so just to make sure that I didn't miss anything I'm just gonna repeat everything again to make sure you got it first time okay all right so this medication is for your cholesterol you're gonna take it once a day you can take it with a lot of water and you want to make sure you don't miss any doses okay okay ",0
what questions do you have any questions at all?,0
well if that's it I guess you can go ahead now so here's your prescription,0
all right have a nice day  ,0
and how does that make you feel,0
and why are you concerned,0
wait you read her diary why would you read her diary that is her,0
well first of all if she was hanging out with this boy she wouldn't be,0
oh,0
just stop because that is not what you're supposed to do going,0
I just can't even I have phone call to think alright,0
hi Laura so thanks for coming in I'm not sure how much you know about why you're here or what we're supposed to talk about so basically I'm going to be meeting with all the students in the school usually once or twice per semester and we're gonna talk about you know whatever's kind of going on in your life I'll ask you some questions about you know your goals and what you like to do for fun and those sorts of things and then we'll talk a little bit about you know different behaviors and and stuff like that and so it's it's pretty casual pretty informal just sort of a chance for me to get to know you,0
okay why don't we start by just having you tell me a little bit about yourself,0
okay and what do you like to do for fun,0
and when you and your friends are hanging out and what do you do go to ball games go to party,0
okay and what kind of hobbies do you have,0
what are your plans for after high school,0
that's great what do you think you'll study,0
Oh neat,0
yeah that's great that's a really good goal,0
it's a hard work to get into law school are you doing school what kind of grades do you get,0
okay what classes are you not getting A's and B's in,0
oh,0
okay and do you know where you're going to apply to college,0
okay cool and and what made you decide maybe law school or journalism,0
okay great sounds like you have like I said really good goals and you're working hard in school you said that when you're going out with your friends you like to hang out and shop and stuff like that and also go to parties so do you drink alcohol,0
okay and how often do you think you drink,0
mm-hmm so like once or twice a month you're having alcohol,0
okay and so that's maybe like 20 times a year,0
so that's actually kind of a lot of drinking then,0
okay what do you thinks the most you've ever had,0
but you've been drunk before,0
okay so the most you've ever ever had is two drinks in a day,0
okay interesting so do you know all the bad stuff about alcohol,0
okay so one of the things that you know it's really important to talk to teenagers about is drinking and driving so you know that's actually a really big problem and and even around here we have kids die every year from getting in a drunk driving accident so that's something that you really need to make sure you're not doing all right have you ever done that have you ever done,0
okay how much do your friends drink,0
okay,0
what about at these parties you're going to there are other kids there who are drinking a lot,0
and do you hang out with them,0
mm-hmm so you know even just hanging out around kids who are drinking a lot actually puts you at a lot more risk did you know that,0
yeah so there I mean a lot of the other dangers of drinking like not just car accidents we can have other accidents you know people you know will fall or you know break things or a lot of people actually end up breaking their bones and ending up in the emergency room because they've been drunk and fallen down or you know as a girl it's really important too that you're careful because you could be sexually assaulted,0
you know especially if you've been drinking then you know you're at a lot more risk because a guy can take advantage of you did have you thought about that,0
and then you know people get in fights more often when they've been drinking too also you know there have been a lot of kids even at this school gotten in trouble because they were drinking and someone took pictures with their cell phone and put it up on Facebook and then their parents find out or school finds out and you know we have a no tolerance policy here about drugs and alcohol and really can get you into trouble and could put your whole college career in jeopardy have you thought about that,0
but you're still drinking,0
so I mean do you think it's the thing to do if you want to be an attorney,0
okay hmm so I mean I guess what we need to do then is kind of talk about some goals for how to be safer,0
um obviously you shouldn't be drinking at all um what do you think about that,0
so do you think you can quit,0
okay so I'm gonna write down then that you've decided to quit,0
and that's going to be your goal and that's great you know that's really why we're here is to talk about that and make sure that you come to that decision um so I guess can you quit this weekend then,0
okay and then what about your friends who are still drinking,0
okay and what if they won't,0
yeah probably if your friends won't quit drinking you should just find new friends because you know the problem is if they're drinking they're going to pressure you into drinking and then you're going to feel awkward and you know you're going to be stuck and and not know what to do and really just be better off probably without them if they're if they're the kind of people who are going to keep drinking they're probably not a good influence,0
and then then you'll be better set for college too because you know the issue is you're getting good grades now but when you get to college it's a lot harder and you know if you're needing really good grades to get into law school which you will need then you really can't be distracted by alcohol,0
